sections,page_path,title,type,color_number,description,external_id,color_hex,image,url,published_at,Family,Shade,updated_at,color_name,Interior/Exterior,cdp,Color Collection,popularity,info,highlight,id,ColorValue,WarmCool,PrimaryColorFamily,Undertone,Opacity,Mood,Project,language,Style
"['Tucker Gray', 'Matching Colors', 'Color By Family']",/en-us/paint-colors/color/cw-705/tucker-gray,Tucker Gray CW-705 | Benjamin Moore,Color,CW-705,"In colonial homes, this shade was used both as a finish color and a base for more brilliant colors. Created using black and white pigments, it is flattering and versatile shade of gray.",cb2915e203a26efed2acd173e7e99362861d4253,909698,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-239-tucker-gray-CW-705-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/cw-705/tucker-gray,2024-07-31T04:41:08Z,Neutral,Medium,2024-07-03T11:14:15Z,Tucker Gray,"['Interior', 'Exterior']",true,Williamsburg&reg; Paint Color Collection,1,,"{'title': 'Tucker <em>Gray</em> CW-705 | Benjamin Moore', 'sections': 'Tucker <em>Gray</em>', 'description': 'In colonial homes, this shade was used both as a finish color and a base for more brilliant colors. Created using black and white pigments, it is flattering and versatile shade of <em>gray</em>.', 'color_name': 'Tucker <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;cw-705&#x2F;tucker-<em>gray</em>'}",62424eee196a67f1a68968c7,,,,,,,,,
"['Gray Mist', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/cc-80/gray-mist,Gray Mist CC-80 | Benjamin Moore,Color,CC-80,Hushed greige tones broaden the versatility of this off-white.,16d6b18e0964305c493a751c98a966eae7d4dd0e,E3DFD2,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-250-gray-mist-CC-80-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/cc-80/gray-mist,2024-07-21T20:52:54Z,,,2024-07-21T20:52:53Z,Gray Mist,,,,1,,"{'title': '<em>Gray</em> Mist CC-80 | Benjamin Moore', 'sections': '<em>Gray</em> Mist', 'color_name': '<em>Gray</em> Mist', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;cc-80&#x2F;<em>gray</em>-mist', 'Undertone': '<em>Gray</em>'}",6242b514e7b9d2f0690f4377,Light,Warm,White,Gray,,,,,
"['Richmond Gray', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-96/richmond-gray,Richmond Gray HC-96 | Benjamin Moore,Color,HC-96,A beige with distinct green undertones.,e1d7aec0377be1c8573728edc3ba749599edd63d,CEC7AA,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-205-richmond-gray-HC-96-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-96/richmond-gray,2024-07-21T23:58:05Z,,,2024-07-21T23:58:05Z,Richmond Gray,,,,1,,"{'title': 'Richmond <em>Gray</em> HC-96 | Benjamin Moore', 'sections': 'Richmond <em>Gray</em>', 'color_name': 'Richmond <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-96&#x2F;richmond-<em>gray</em>'}",6243053528ccbcf616ddacd2,Medium,Warm,Neutral,,,,,,
"['Gray Mist', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/oc-30/gray-mist,Gray Mist OC-30 | Benjamin Moore,Color,OC-30,Hushed greige tones broaden the versatility of this off-white.,2e7ed3e3ff9b155206f9a161d65973f29a789d4b,E3DFD2,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-250-gray-mist-OC-30-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/oc-30/gray-mist,2024-07-22T00:04:38Z,,,2024-07-22T00:04:38Z,Gray Mist,,,,1,,"{'title': '<em>Gray</em> Mist OC-30 | Benjamin Moore', 'sections': '<em>Gray</em> Mist', 'color_name': '<em>Gray</em> Mist', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;oc-30&#x2F;<em>gray</em>-mist', 'Undertone': '<em>Gray</em>'}",6242693628ccbcc76adda331,Light,Warm,White,Gray,,,,,
"['Templeton Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-161/templeton-gray,Templeton Gray HC-161 | Benjamin Moore,Color,HC-161,A stylish blue-green with intriguing depth.,5d334cb7866a7faaf6d427bdc4b54616e1e5704a,778686,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-209-templeton-gray-HC-161-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-161/templeton-gray,2024-07-21T23:21:01Z,,,2024-07-21T23:21:00Z,Templeton Gray,,,,1,,"{'title': 'Templeton <em>Gray</em> HC-161 | Benjamin Moore', 'sections': 'Templeton <em>Gray</em>', 'color_name': 'Templeton <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-161&#x2F;templeton-<em>gray</em>'}",624286fe28ccbc7a02dd9cd1,Medium,Cool,,,,,,,
"['Wedgewood Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-146/wedgewood-gray,Wedgewood Gray HC-146 | Benjamin Moore,Color,HC-146,A classic soft blue with endless versatility.,50919b5c8baff93b62916b7d5e99df1ad9ba81eb,ACBFBD,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-117-wedgewood-gray-HC-146-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-146/wedgewood-gray,2024-07-22T00:33:26Z,,,2024-07-22T00:33:25Z,Wedgewood Gray,,,,1,,"{'title': 'Wedgewood <em>Gray</em> HC-146 | Benjamin Moore', 'sections': 'Wedgewood <em>Gray</em>', 'color_name': 'Wedgewood <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-146&#x2F;wedgewood-<em>gray</em>', 'Undertone': '<em>Gray</em>'}",62429862e7b9d2d01d0f60b3,Medium,Cool,,Gray,,,,,
"['Gravel Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2127-30/gravel-gray,Gravel Gray 2127-30 | Benjamin Moore,Color,2127-30,A soft shade of black with a slightly cool cast.,f6a96f7a2f6cfe98d1f337c5347987f201be173e,444A50,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-229-gravel-gray-2127-30-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2127-30/gravel-gray,2024-07-22T00:44:20Z,,,2024-07-22T00:44:20Z,Gravel Gray,,,,1,,"{'title': 'Gravel <em>Gray</em> 2127-30 | Benjamin Moore', 'sections': 'Gravel <em>Gray</em>', 'color_name': 'Gravel <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2127-30&#x2F;gravel-<em>gray</em>'}",62425af164441fe34e004eaa,Dark,Cool,Neutral,,,,,,
"['Gray Gardens', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-55/gray-gardens,Gray Gardens CSP-55 | Benjamin Moore,Color,CSP-55,"Autumn is upon the old manse. Its romantic, neglected gardens mirror the tone of the old estate with surprising warmth against the chill. ",3dc051df32fa0b086796b871a3ed61d84165c9b4,717571,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-233-gray-gardens-CSP-55-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-55/gray-gardens,2024-07-22T00:54:49Z,,,2024-07-22T00:54:49Z,Gray Gardens,,,,1,,"{'title': '<em>Gray</em> Gardens CSP-55 | Benjamin Moore', 'sections': '<em>Gray</em> Gardens', 'color_name': '<em>Gray</em> Gardens', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-55&#x2F;<em>gray</em>-gardens'}",6242ed45e7b9d25ff80f42c3,Dark,Cool,Neutral,,,,,,
"['Nordic Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/cc-576/nordic-gray,Nordic Gray CC-576 | Benjamin Moore,Color,CC-576,A touch of golden olive warms up this taupe hue.,c75adec90160210ff9f1ca153e535502f122a1b4,9E9079,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-184-nordic-gray-CC-576-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/cc-576/nordic-gray,2024-06-28T18:09:07Z,,,2024-06-28T18:09:06Z,Nordic Gray,,,,1,,"{'title': 'Nordic <em>Gray</em> CC-576 | Benjamin Moore', 'sections': 'Nordic <em>Gray</em>', 'color_name': 'Nordic <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;cc-576&#x2F;nordic-<em>gray</em>'}",62473445196a673c8289682a,Medium,Warm,Neutral,Brown,,,,,
"['Beige Gray', 'Discover This Color in Woodluxe Exterior Stains', 'Explore the Woodluxe Collection']",/en-us/paint-colors/color/es-51/beige-gray,Beige Gray ES-51 | Benjamin Moore,Color,ES-51,A warm and inviting neutral hue that enriches wood in a subtle range of soft browns. Exclusive to Woodluxe® stain products.,a27a5e8257ba32fb715bfd3e243c6b0aabaac9d9,A2947F,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/Woodluxe-CDP-Outdoor-Seating-Beige-Gray-ES-51-RGB.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/es-51/beige-gray,2024-07-21T21:26:10Z,,,2024-07-21T21:26:09Z,Beige Gray,,,,1,,"{'title': 'Beige <em>Gray</em> ES-51 | Benjamin Moore', 'sections': 'Beige <em>Gray</em>', 'color_name': 'Beige <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;es-51&#x2F;beige-<em>gray</em>'}",656d6bf728ccbca279259a1e,,,,,,,,,
"[""Gentleman's Gray"", 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2062-20/gentlemans-gray,Gentleman's Gray 2062-20 | Benjamin Moore,Color,2062-20,A blackened teal blue beloved for its balance of richness and restraint.,7ffee126a33e897e7463f3e46209b1626cf54e42,304656,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-137-gentlemans-gray-2062-20-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2062-20/gentlemans-gray,2024-07-21T22:04:21Z,,,2024-07-21T22:04:20Z,Gentleman's Gray,,,,1,,"{'title': 'Gentleman&#x27;s <em>Gray</em> 2062-20 | Benjamin Moore', 'sections': 'Gentleman&#x27;s <em>Gray</em>', 'color_name': 'Gentleman&#x27;s <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2062-20&#x2F;gentlemans-<em>gray</em>'}",6242b23ae7b9d277640f6343,Dark,Cool,,,,,,,
"['Seattle Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2130-70/seattle-gray,Seattle Gray 2130-70 | Benjamin Moore,Color,2130-70,"A pale, muted silver-blue evocative of misty skies.",7510254d4669819bebe5490df95d33bacf4fd050,DCE1E4,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-238-seattle-gray-2130-70-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2130-70/seattle-gray,2024-07-21T22:46:30Z,,,2024-07-21T22:46:29Z,Seattle Gray,,,,1,,"{'title': 'Seattle <em>Gray</em> 2130-70 | Benjamin Moore', 'sections': 'Seattle <em>Gray</em>', 'color_name': 'Seattle <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2130-70&#x2F;seattle-<em>gray</em>'}",6242c9f2196a67d3a8894741,Light,Cool,White,,,,,,
"['Hancock Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-97/hancock-gray,Hancock Gray HC-97 | Benjamin Moore,Color,HC-97,A muted moss with a hint of brown.,093b29573e2858f67215e14fc3377ab7705ae29f,968D70,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-189-hancock-gray-HC-97-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-97/hancock-gray,2024-07-22T03:46:14Z,,,2024-07-22T03:46:14Z,Hancock Gray,,,,1,,"{'title': 'Hancock <em>Gray</em> HC-97 | Benjamin Moore', 'sections': 'Hancock <em>Gray</em>', 'color_name': 'Hancock <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-97&#x2F;hancock-<em>gray</em>'}",6242b7b628ccbc57e4dda669,Medium,Warm,,Brown,,,,,
"['Kingsport Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-86/kingsport-gray,Kingsport Gray HC-86 | Benjamin Moore,Color,HC-86,A versatile taupe that delivers understated drama.,8ec7fcdb23b8aee0869f065203780ea37adc9e7a,948674,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-207-kingsport-gray-HC-86-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-86/kingsport-gray,2024-07-22T00:13:36Z,,,2024-07-22T00:13:35Z,Kingsport Gray,,,,1,,"{'title': 'Kingsport <em>Gray</em> HC-86 | Benjamin Moore', 'sections': 'Kingsport <em>Gray</em>', 'color_name': 'Kingsport <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-86&#x2F;kingsport-<em>gray</em>', 'Undertone': '<em>Gray</em>'}",6242dcca196a67623d89694f,Medium,Warm,Neutral,Gray,,,,,
"['Gray Lake', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2138-70/gray-lake,Gray Lake 2138-70 | Benjamin Moore,Color,2138-70,A pale silver with the slightest glint of green.,58b9bddd30267e9e90aea0c603997522c4cc5306,E4E8E2,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-214-gray-lake-2138-70-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2138-70/gray-lake,2024-07-22T01:31:20Z,,,2024-07-22T01:31:20Z,Gray Lake,,,,1,,"{'title': '<em>Gray</em> Lake 2138-70 | Benjamin Moore', 'sections': '<em>Gray</em> Lake', 'color_name': '<em>Gray</em> Lake', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2138-70&#x2F;<em>gray</em>-lake'}",6242acbb28ccbcce65ddb7f4,Light,Cool,White,,,,,,
"['Nocturnal Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2135-30/nocturnal-gray,Nocturnal Gray 2135-30 | Benjamin Moore,Color,2135-30,"A smoky charcoal with a hint of teal, this dark hue channels the moody allure of evening.",9028308d4df50ba9108c292198b60a8b03a9d417,55656B,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-218-nocturnal-gray-2135-30-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2135-30/nocturnal-gray,2024-07-21T23:42:26Z,,,2024-07-21T23:42:25Z,Nocturnal Gray,,,,1,,"{'title': 'Nocturnal <em>Gray</em> 2135-30 | Benjamin Moore', 'sections': 'Nocturnal <em>Gray</em>', 'color_name': 'Nocturnal <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2135-30&#x2F;nocturnal-<em>gray</em>', 'Undertone': '<em>Gray</em>'}",624293a164441ffe9f005398,Dark,Cool,,Gray,,,,,
"['Crownsville Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-106/crownsville-gray,Crownsville Gray HC-106 | Benjamin Moore,Color,HC-106,"A deep, dignified greenish brown.",f59a3b954b9349adc153ec72c9de18b884b7bc38,867F69,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-210-crownsville-gray-HC-106-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-106/crownsville-gray,2024-07-31T00:48:00Z,Green,Dark,2024-07-31T00:47:59Z,Crownsville Gray,"['Interior', 'Exterior']",true,Historical Colors,1,,"{'title': 'Crownsville <em>Gray</em> HC-106 | Benjamin Moore', 'sections': 'Crownsville <em>Gray</em>', 'color_name': 'Crownsville <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-106&#x2F;crownsville-<em>gray</em>'}",6242ee8be7b9d276590f459c,,,,,,,,,
