sections,page_path,title,type,color_number,description,external_id,ColorValue,WarmCool,color_hex,image,url,published_at,updated_at,color_name,Undertone,popularity,info,highlight,id,Family,Shade,Interior/Exterior,cdp,Color Collection,PrimaryColorFamily,language
"['True Green', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2042-10/true-green,True Green 2042-10 | Benjamin Moore,Color,2042-10,A dark hue that stands out with ultra-rich emerald tones.,1a9432b802f01935c9800efb283bd6ab2e38b128,Dark,Cool,006047,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-124-true-green-2042-10-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2042-10/true-green,2024-07-21T20:49:05Z,2024-07-21T20:49:05Z,True Green,,1,,"{'title': 'True <em>Green</em> 2042-10 | Benjamin Moore', 'sections': 'True <em>Green</em>', 'color_name': 'True <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2042-10&#x2F;true-<em>green</em>'}",6242da6428ccbc3658dda05d,,,,,,,
"['Clearspring Green', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-128/clearspring-green,Clearspring Green HC-128 | Benjamin Moore,Color,HC-128,A bold shade of jade that can energize a space.,a48cf0da30c2e63267d4121c99d4894d6a9f5c50,Medium,Cool,759A80,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-093-clearspring-green-HC-128-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-128/clearspring-green,2024-07-22T04:28:52Z,2024-07-22T04:28:51Z,Clearspring Green,,1,,"{'title': 'Clearspring <em>Green</em> HC-128 | Benjamin Moore', 'sections': 'Clearspring <em>Green</em>', 'color_name': 'Clearspring <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-128&#x2F;clearspring-<em>green</em>'}",6241fed5e7b9d2a9460f40a2,,,,,,,
"['Green Bay', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2045-10/green-bay,Green Bay 2045-10 | Benjamin Moore,Color,2045-10,An intense emerald that sparkles with teal undertones.,26e715a1da468692c6a074642e73b30287a0d1e0,Dark,Cool,005949,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-092-green-bay-2045-10-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2045-10/green-bay,2024-07-22T04:09:03Z,2024-07-22T04:09:02Z,Green Bay,,1,,"{'title': '<em>Green</em> Bay 2045-10 | Benjamin Moore', 'sections': '<em>Green</em> Bay', 'color_name': '<em>Green</em> Bay', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2045-10&#x2F;<em>green</em>-bay'}",624302bc196a67f2868969d0,,,,,,,
"['Soft Green', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2045-70/soft-green,Soft Green 2045-70 | Benjamin Moore,Color,2045-70,A light wash of mint defines this soft hue.,42de29f78c61a89afdee2f6b256d389f2b277c5c,Light,Cool,D4F4ED,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-092-soft-green-2045-70-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2045-70/soft-green,2024-07-22T04:05:35Z,2024-07-22T04:05:35Z,Soft Green,,1,,"{'title': 'Soft <em>Green</em> 2045-70 | Benjamin Moore', 'sections': 'Soft <em>Green</em>', 'color_name': 'Soft <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2045-70&#x2F;soft-<em>green</em>'}",6243021264441f272900427d,,,,,,,
"['Monmouth Green', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2038-40/monmouth-green,Monmouth Green 2038-40 | Benjamin Moore,Color,2038-40,A splashy jade hue with a wink of blue.,aa6365db5b43d6c143243408adf8896430fb09b8,Medium,Cool,5BC2A2,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-088-monmouth-green-2038-40-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2038-40/monmouth-green,2024-07-22T04:07:40Z,2024-07-22T04:07:40Z,Monmouth Green,,1,,"{'title': 'Monmouth <em>Green</em> 2038-40 | Benjamin Moore', 'sections': 'Monmouth <em>Green</em>', 'color_name': 'Monmouth <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2038-40&#x2F;monmouth-<em>green</em>'}",6242cd1028ccbca848dda6fe,,,,,,,
"['Seafoam Green', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2039-60/seafoam-green,Seafoam Green 2039-60 | Benjamin Moore,Color,2039-60,A light spearmint hue that has a rejuvenating effect.,6610180674ea67a26d983bcb4fae796e0d63a77b,Light,Cool,B8EEE0,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-087-seafoam-green-2039-60-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2039-60/seafoam-green,2024-07-22T04:06:15Z,2024-07-22T04:06:14Z,Seafoam Green,,1,,"{'title': 'Seafoam <em>Green</em> 2039-60 | Benjamin Moore', 'sections': 'Seafoam <em>Green</em>', 'color_name': 'Seafoam <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2039-60&#x2F;seafoam-<em>green</em>'}",6242cb8028ccbcaecfddbdbf,,,,,,,
"['Acadia Green', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2034-50/acadia-green,Acadia Green 2034-50 | Benjamin Moore,Color,2034-50,A muted aloe tone that soothes and stimulates.,c7ab98385d8d0ac20db1d5995ebf73173cd22bd9,Medium,Cool,AED2B0,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-098-acadia-green-2034-50-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2034-50/acadia-green,2024-07-22T04:16:53Z,2024-07-03T12:04:45Z,Acadia Green,,1,,"{'title': 'Acadia <em>Green</em> 2034-50 | Benjamin Moore', 'sections': 'Acadia <em>Green</em>', 'color_name': 'Acadia <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2034-50&#x2F;acadia-<em>green</em>'}",6242d3d228ccbc500bdda43d,,,,,,,
"['Thayer Green', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-825/thayer-green,Thayer Green CSP-825 | Benjamin Moore,Color,CSP-825,"In his crisp dress uniform, the new cadet strolled the hallowed hallways, a surge of pride filling his chest.",c1d5f5891a6e7101e9abb020697500d0520c4bb9,Medium,Warm,949476,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-106-thayer-green-CSP-825-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-825/thayer-green,2024-07-22T04:53:25Z,2024-07-22T04:53:25Z,Thayer Green,Yellow,1,,"{'title': 'Thayer <em>Green</em> CSP-825 | Benjamin Moore', 'sections': 'Thayer <em>Green</em>', 'color_name': 'Thayer <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-825&#x2F;thayer-<em>green</em>'}",6242e76a28ccbc0eebdda42d,,,,,,,
"['Mermaid Green', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2039-50/mermaid-green,Mermaid Green 2039-50 | Benjamin Moore,Color,2039-50,"An otherworldly shade of aqua that is perfect for fun, playful spaces.",4775f7d7a982f1df87e4ce35ca9ee5c280b688f0,Light,Cool,85DFCB,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-087-mermaid-green-2039-50-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2039-50/mermaid-green,2024-07-22T01:55:50Z,2024-07-22T01:55:50Z,Mermaid Green,,1,,"{'title': 'Mermaid <em>Green</em> 2039-50 | Benjamin Moore', 'sections': 'Mermaid <em>Green</em>', 'color_name': 'Mermaid <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2039-50&#x2F;mermaid-<em>green</em>'}",6242cdc8196a67ac59895e98,,,,,,,
"['Miami Green', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2042-40/miami-green,Miami Green 2042-40 | Benjamin Moore,Color,2042-40,"With its ultra-bright tone, this aquamarine has an almost futuristic feel.",4d9d1fc07f63f4215fe5ae82aec87522b0e19cf6,Medium,Cool,3DC6AB,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-124-miami-green-2042-40-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2042-40/miami-green,2024-07-21T06:37:13Z,2024-07-21T06:37:12Z,Miami Green,,1,,"{'title': 'Miami <em>Green</em> 2042-40 | Benjamin Moore', 'sections': 'Miami <em>Green</em>', 'color_name': 'Miami <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2042-40&#x2F;miami-<em>green</em>'}",6243023a28ccbc273fdda2f5,,,,,,,
"['Mantis Green', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2033-60/mantis-green,Mantis Green 2033-60 | Benjamin Moore,Color,2033-60,A youthful pastel bursting with minty freshness.,5f3a66cdd436455bcaf8c06ba4e173c350b8978c,,,CBF0D2,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-099-mantis-green-2033-60-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2033-60/mantis-green,2024-07-30T15:17:57Z,2024-07-03T16:57:06Z,Mantis Green,,1,,"{'title': 'Mantis <em>Green</em> 2033-60 | Benjamin Moore', 'sections': 'Mantis <em>Green</em>', 'color_name': 'Mantis <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2033-60&#x2F;mantis-<em>green</em>', 'Family': '<em>Green</em>'}",6242cbf4196a670378896316,Green,Light,"['Interior', 'Exterior']",true,Color Preview&reg;,,
"['Bud Green', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2033-50/bud-green,Bud Green 2033-50 | Benjamin Moore,Color,2033-50,This intense shade of mint opens the door for playful spaces.,9144565393206f867a58cb11ebbaf29263cb4e74,,,A6E3B5,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-099-bud-green-2033-50-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2033-50/bud-green,2024-07-30T15:17:53Z,2024-07-03T16:56:58Z,Bud Green,,1,,"{'title': 'Bud <em>Green</em> 2033-50 | Benjamin Moore', 'sections': 'Bud <em>Green</em>', 'color_name': 'Bud <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2033-50&#x2F;bud-<em>green</em>', 'Family': '<em>Green</em>'}",6242cbde28ccbce086ddba9e,Green,Light,"['Interior', 'Exterior']",true,Color Preview&reg;,,
"['Traffic Light Green', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2032-20/traffic-light-green,Traffic Light Green 2032-20 | Benjamin Moore,Color,2032-20,A quintessential bright green.,2c42a97dc98e106c44c598a9397ac60dfb3a4d6b,,,32A431,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-095-traffic-light-green-2032-20-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2032-20/traffic-light-green,2024-07-30T20:40:21Z,2024-07-30T20:40:20Z,Traffic Light Green,,1,,"{'title': 'Traffic Light <em>Green</em> 2032-20 | Benjamin Moore', 'sections': 'Traffic Light <em>Green</em>', 'description': 'A quintessential bright <em>green</em>.', 'color_name': 'Traffic Light <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2032-20&#x2F;traffic-light-<em>green</em>', 'Family': '<em>Green</em>'}",6242eb23196a67be82894cab,Green,Medium,Interior,true,Color Preview&reg;,,
