sections,page_path,title,type,color_number,description,external_id,ColorValue,WarmCool,color_hex,image,url,published_at,updated_at,color_name,Undertone,PrimaryColorFamily,popularity,info,highlight,id,Family,Shade,Interior/Exterior,cdp,Color Collection,Mood,Project,Style,Value,Color Family,language
"['Northampton Putty', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-89/northampton-putty,Northampton Putty HC-89 | Benjamin Moore,Color,HC-89,"A rich, warm neutral that is comforting yet sophisticated.",ff5c90bb37b8e8b1496009471d7d1985149f84f1,Medium,Warm,AC9C7C,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-192-northampton-putty-HC-89-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-89/northampton-putty,2024-07-21T23:21:01Z,2024-07-21T23:21:00Z,Northampton Putty,Yellow,Neutral,1,,"{'description': 'A rich, warm <em>neutral</em> that is comforting yet sophisticated.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242f5bc196a6750c0894e98,,,,,,,,,,,
"['Brookline Beige', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-47/brookline-beige,Brookline Beige HC-47 | Benjamin Moore,Color,HC-47,A pleasing medium neutral with the barest hint of peach.,67191c83ec9993bf9762099cf16beabfa6983fbe,Medium,Warm,C0A689,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-186-brookline-beige-HC-47-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-47/brookline-beige,2024-07-21T22:10:43Z,2024-07-21T22:10:42Z,Brookline Beige,Peach,Neutral,1,,"{'description': 'A pleasing medium <em>neutral</em> with the barest hint of peach.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242862d64441ffc4f005b45,,,,,,,,,,,
"['Stonington Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-170/stonington-gray,Stonington Gray HC-170 | Benjamin Moore,Color,HC-170,An all-purpose silvery gray with relatively neutral undertones.,a9e462dd8bcab1b865f7b906efe24ec8d136fa85,Light,Cool,CACBC5,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-238-stonington-gray-HC-170-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-170/stonington-gray,2024-07-21T22:25:38Z,2024-07-21T22:25:37Z,Stonington Gray,,Neutral,1,,"{'description': 'An all-purpose silvery gray with relatively <em>neutral</em> undertones.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242a3b764441f74980060f6,,,,,,,,,,,
"['Himalayan Trek', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1542/himalayan-trek,Himalayan Trek 1542 | Benjamin Moore,Color,1542,A mid-tone neutral with warm gray undertones.,9d61e14cc24868c3dfee6a63822af9d6a3859158,Medium,Cool,BEB8AE,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-204-himalayan-trek-1542-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1542/himalayan-trek,2024-07-21T19:57:27Z,2024-07-21T19:57:26Z,Himalayan Trek,Gray,Neutral,1,,"{'description': 'A mid-tone <em>neutral</em> with warm gray undertones.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242a70c196a67b72d89718e,,,,,,,,,,,
"['Topeka Taupe', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1463/topeka-taupe,Topeka Taupe 1463 | Benjamin Moore,Color,1463,A strong brown undertone deepens this neutral hue.,cad399528015aa86c90bdf9b543829bd6d412681,Dark,Warm,60544F,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-222-topeka-taupe-1463-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1463/topeka-taupe,2024-07-21T20:14:38Z,2024-07-21T20:14:38Z,Topeka Taupe,Brown,Neutral,1,,"{'description': 'A strong brown undertone deepens this <em>neutral</em> hue.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242ad58196a6742ea895ae3,,,,,,,,,,,
"['Rodeo', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1534/rodeo,Rodeo 1534 | Benjamin Moore,Color,1534,"This light, neutral hue features a hint of gray.",a6a51ff7af43a3b11eb0ef4ad2093eec049dc303,Light,Cool,D0CDC2,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-184-rodeo-1534-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1534/rodeo,2024-07-21T20:14:39Z,2024-07-21T20:14:38Z,Rodeo,Gray,Neutral,1,,"{'description': 'This light, <em>neutral</em> hue features a hint of gray.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242aee864441f9d3f0038c4,,,,,,,,,,,
"['Fresh Brew', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family', 'Discover This Color in Woodluxe Exterior Stains', 'Explore the Woodluxe Collection']",/en-us/paint-colors/color/1232/fresh-brew,Fresh Brew 1232 | Benjamin Moore,Color,1232,A touch of chocolatey brown warms up this silky neutral.,ef05e5ff24f54ba4e619fad5a72e335b5ca5d9fb,Dark,Warm,684F46,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-038-fresh-brew-1232-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1232/fresh-brew,2024-07-21T21:30:52Z,2024-07-21T21:30:52Z,Fresh Brew,Brown,Neutral,1,,"{'description': 'A touch of chocolatey brown warms up this silky <em>neutral</em>.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62429ccfe7b9d2842e0f5baf,,,,,,,,,,,
"['Beautiful in My Eyes', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1170/beautiful-in-my-eyes,Beautiful in My Eyes 1170 | Benjamin Moore,Color,1170,"A pinkish beige, this warm neutral evokes a flattering glow.",a14ec477107e71e792d534e82759b632f5123d52,Light,Warm,F0E2D4,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-011-beautiful-in-my-eyes-1170-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1170/beautiful-in-my-eyes,2024-07-21T22:04:22Z,2024-07-21T22:04:22Z,Beautiful in My Eyes,Pink,Red,1,,"{'description': 'A pinkish beige, this warm <em>neutral</em> evokes a flattering glow.'}",6242d8ec64441f4117005dbb,,,,,,,,,,,
"['Gentle Repose', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1149/gentle-repose,Gentle Repose 1149 | Benjamin Moore,Color,1149,A strong dose of white lightens this balanced neutral.,1e05065ecdb905bcd3031b1cb245eaa4cc3dc79c,Light,Warm,EFDFCC,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-030-gentle-repose-1149-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1149/gentle-repose,2024-07-21T22:09:52Z,2024-07-21T22:09:51Z,Gentle Repose,Peach,Orange,1,,{'description': 'A strong dose of white lightens this balanced <em>neutral</em>.'},6375db45e7b9d2a1b9562484,,,,,,,,,,,
"['White Winged Dove', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1457/white-winged-dove,White Winged Dove 1457 | Benjamin Moore,Color,1457,A gentle neutral with a cool touch of gray undertone.,30c963f2d4b63c0995786e314b5c86dede8dd9b6,Light,Cool,E5E0DB,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-222-white-winged-dove-1457-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1457/white-winged-dove,2024-07-21T20:01:09Z,2024-07-21T20:01:09Z,White Winged Dove,Gray,Neutral,1,,"{'description': 'A gentle <em>neutral</em> with a cool touch of gray undertone.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242ad8028ccbc7a5bddbada,,,,,,,,,,,
"['Bear Creek', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1470/bear-creek,Bear Creek 1470 | Benjamin Moore,Color,1470,"Smoky brown undertones soften this deep, woodsy neutral.",7881d079c0476fdb3b13bb3f1370dc4cc2d18c3c,Dark,Warm,726A62,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-216-bear-creek-1470-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1470/bear-creek,2024-07-21T20:02:12Z,2024-07-21T20:02:12Z,Bear Creek,Brown,Neutral,1,,"{'description': 'Smoky brown undertones soften this deep, woodsy <em>neutral</em>.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242ad77196a6786e489621e,,,,,,,,,,,
"['Coventry Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-169/coventry-gray,Coventry Gray HC-169 | Benjamin Moore,Color,HC-169,A steadfast medium gray with relatively neutral undertones.,12ec0f0762c5eb57429603d1ac04c5e0ea2362de,Medium,Cool,B8BAB6,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-228-coventry-gray-HC-169-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-169/coventry-gray,2024-07-21T07:32:26Z,2024-07-21T07:32:25Z,Coventry Gray,Gray,Neutral,1,,"{'description': 'A steadfast medium gray with relatively <em>neutral</em> undertones.', 'PrimaryColorFamily': '<em>Neutral</em>'}",624268d7e7b9d2542e0f3ad5,,,,,,,,,,,
"['Cabin Fever', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1540/cabin-fever,Cabin Fever 1540 | Benjamin Moore,Color,1540,A comforting neutral grounded by a deep brown hue.,ade9050ca6e7c17d43c3fde72acd15c0343d0ada,Dark,Warm,6C6453,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-184-cabin-fever-1540-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1540/cabin-fever,2024-07-21T22:26:56Z,2024-07-21T22:26:56Z,Cabin Fever,Brown,,1,,{'description': 'A comforting <em>neutral</em> grounded by a deep brown hue.'},6242af1528ccbc5b72ddab34,,,,,,,,,,,
"['Coastal Fog', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/976/coastal-fog,Coastal Fog 976 | Benjamin Moore,Color,976,Olive and khaki tones mingle in this chameleon-like neutral.,c93e938533d4a1d3e7c627d4715bc2bf7c58b4dc,Medium,Warm,CAC4B0,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-192-coastal-fog-976-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/976/coastal-fog,2024-07-21T22:35:34Z,2024-07-21T22:35:34Z,Coastal Fog,Beige,Neutral,1,,"{'description': 'Olive and khaki tones mingle in this chameleon-like <em>neutral</em>.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242596128ccbc1132ddb90b,,,,,,,,,,,
"['Chocolate Mousse', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1025/chocolate-mousse,Chocolate Mousse 1025 | Benjamin Moore,Color,1025,Hints of dusty rose bring nuance to this velvety neutral.,1cc0a8c2954614f5f74e86f0cb9ba83f7e703a1e,Medium,Warm,D1C0AF,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-196-chocolate-mousse-1025-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1025/chocolate-mousse,2024-07-21T19:44:17Z,2024-07-21T19:44:16Z,Chocolate Mousse,Beige,Neutral,1,,"{'description': 'Hints of dusty rose bring nuance to this velvety <em>neutral</em>.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242816628ccbc6f86dda4ad,,,,,,,,,,,
"['Hearthstone', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1601/hearthstone,Hearthstone 1601 | Benjamin Moore,Color,1601,An understated cool neutral reminiscent of a homey stone hearth.,9a0c97e81a1cdad9a979d5a56059390ecb5aa862,Medium,Cool,888D8F,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-220-hearthstone-1601-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1601/hearthstone,2024-07-22T02:09:51Z,2024-07-22T02:09:50Z,Hearthstone,Gray,Neutral,1,,"{'description': 'An understated cool <em>neutral</em> reminiscent of a homey stone hearth.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242763ae7b9d2175c0f5610,,,,,,,,,,,
"['Cedar Key', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/982/cedar-key,Cedar Key 982 | Benjamin Moore,Color,982,"A crisp, confident neutral that conjures driftwood washed ashore.",1b7b3b7ea11efe08174e358a57e0c49348718c82,Light,Warm,D7CEBF,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-191-cedar-key-982-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/982/cedar-key,2024-07-22T01:43:51Z,2024-07-22T01:43:51Z,Cedar Key,Beige,White,1,,"{'description': 'A crisp, confident <em>neutral</em> that conjures driftwood washed ashore.'}",6242d8aae7b9d226c90f5ec1,,,,,,,,,,,
"['Sierra Hills', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1053/sierra-hills,Sierra Hills 1053 | Benjamin Moore,Color,1053,"A warm, reliable neutral with fawn brown undertones.",258058d8deccb7a070ee8989c529f1fddadf6331,Medium,Warm,CDB99F,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-203-sierra-hills-1053-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1053/sierra-hills,2024-07-22T04:46:08Z,2024-07-22T04:46:08Z,Sierra Hills,Brown,Neutral,1,,"{'description': 'A warm, reliable <em>neutral</em> with fawn brown undertones.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62427a3028ccbcb8a8ddab90,,,,,,,,,,,
"['Strathmore Manor', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/244/strathmore-manor,Strathmore Manor 244 | Benjamin Moore,Color,244,"A rich, warm neutral that is comforting yet sophisticated.",ffa3f89236a48ea9ad25069509eb6ed7d001771c,Medium,Warm,AC9C7C,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-192-strathmore-manor-244-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/244/strathmore-manor,2024-07-22T04:44:28Z,2024-07-22T04:44:28Z,Strathmore Manor,Brown,Neutral,1,,"{'description': 'A rich, warm <em>neutral</em> that is comforting yet sophisticated.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62425e8f28ccbc3841dd9ef8,,,,,,,,,,,
"['Light Breeze', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/512/light-breeze,Light Breeze 512 | Benjamin Moore,Color,512,Warm cream tones gently color this light neutral.,a843f29fc9c47d066ca18a5f8f964070139f4807,Light,Warm,E6E1CB,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-205-light-breeze-512-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/512/light-breeze,2024-07-22T03:19:55Z,2024-07-22T03:19:54Z,Light Breeze,,Neutral,1,,"{'description': 'Warm cream tones gently color this light <em>neutral</em>.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62429fa7196a67332f8961d1,,,,,,,,,,,
"['Majestic Sage', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1532/majestic-sage,Majestic Sage 1532 | Benjamin Moore,Color,1532,A green undertone brings earthen elegance to this warm neutral.,ca35429934a781478673ca4998d4fd48fb163346,Medium,Warm,8F866B,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-193-majestic-sage-1532-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1532/majestic-sage,2024-07-22T04:34:44Z,2024-07-22T04:34:43Z,Majestic Sage,,Neutral,1,,"{'description': 'A green undertone brings earthen elegance to this warm <em>neutral</em>.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242b81ee7b9d252ef0f3d68,,,,,,,,,,,
"['Malted Milk', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2099-60/malted-milk,Malted Milk 2099-60 | Benjamin Moore,Color,2099-60,"A light, creamy neutral distinguished by dusty pink undertones.",1f6d57690637364889989f5e8f4e70378e180e4a,,,DECAC2,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-204-malted-milk-2099-60-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2099-60/malted-milk,2024-07-30T17:44:40Z,2024-07-30T17:44:39Z,Malted Milk,,,1,,"{'description': 'A light, creamy <em>neutral</em> distinguished by dusty pink undertones.'}",6242c950e7b9d28d820f3d15,Red,Light,"['Interior', 'Exterior']",true,Color Preview&reg;,,,,,,
"['Florentine Plaster', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/cc-520/florentine-plaster,Florentine Plaster CC-520 | Benjamin Moore,Color,CC-520,Olive and khaki tones mingle in this chameleon-like neutral.,3d5e5fbae2da4b4c6097cbca279ca57f83d068da,,,CAC4B0,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-192-florentine-plaster-CC-520-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/cc-520/florentine-plaster,2024-07-30T14:47:02Z,2024-07-03T16:43:41Z,Florentine Plaster,,,1,,"{'description': 'Olive and khaki tones mingle in this chameleon-like <em>neutral</em>.', 'Family': '<em>Neutral</em>'}",6243105828ccbcd4edddab2e,Neutral,Medium,"['Interior', 'Exterior']",true,Designer Classics,,,,,,
"['Dark Buff', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-320/dark-buff,Dark Buff CSP-320 | Benjamin Moore,Color,CSP-320,A deeper neutral that's as comforting as a favorite leather jacket.,5c9337fc8d012fe02512cab253bb340ca8f9738b,Medium,Warm,B99B82,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-202-dark-buff-CSP-320-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-320/dark-buff,2024-07-22T04:04:45Z,2024-07-03T16:46:08Z,Dark Buff,Yellow,Neutral,1,,"{'description': 'A deeper <em>neutral</em> that&#x27;s as comforting as a favorite leather jacket.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62430cdfe7b9d25b100f5d5c,,,,,,,,,,,
