sections,page_path,title,type,color_number,description,external_id,ColorValue,WarmCool,color_hex,image,url,published_at,updated_at,color_name,Undertone,PrimaryColorFamily,popularity,info,highlight,id,Family,Shade,Interior/Exterior,cdp,Color Collection,Mood,Project,Style,Opacity,language
"['Deer Field', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1159/deer-field,Deer Field 1159 | Benjamin Moore,Color,1159,An infusion of pink gives this mid-tone neutral calming appeal.,f8666c486c3b494899ce2d85adc46de80f5aa7d3,Medium,Warm,D0B19B,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-033-deer-field-1159-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1159/deer-field,2024-07-21T22:36:56Z,2024-07-21T22:36:55Z,Deer Field,Pink,Neutral,1,,"{'description': 'An infusion of pink gives this mid-tone <em>neutral</em> calming appeal.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62429a3164441f175c00383b,,,,,,,,,,
"['Boudoir', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/af-190/boudoir,Boudoir AF-190 | Benjamin Moore,Color,AF-190,Dusty rose undertones bring a nostalgic allure to this medium neutral.,c699b5ed3f76722203b96f4f4a208b30ebd67800,Medium,Warm,DAC2AE,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-011-boudoir-AF-190-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/af-190/boudoir,2024-07-22T00:35:35Z,2024-07-22T00:35:35Z,Boudoir,Peach,Orange,1,,{'description': 'Dusty rose undertones bring a nostalgic allure to this medium <em>neutral</em>.'},62429d8128ccbc0cc8dda32d,,,,,,,,,,
"['Frosted Café', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2098-70/frosted-cafe,Frosted Café 2098-70 | Benjamin Moore,Color,2098-70,A pink-tinged neutral as light and frothy as the foam atop a cup of cappuccino.,f1a490ccc54e9705bb32c37eeef1e7e7990a9972,Light,Warm,ECE2DC,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-182-frosted-cafe-2098-70-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2098-70/frosted-cafe,2024-07-21T19:29:24Z,2024-07-21T19:29:23Z,Frosted Café,Brown,Neutral,1,,"{'description': 'A pink-tinged <em>neutral</em> as light and frothy as the foam atop a cup of cappuccino.', 'PrimaryColorFamily': '<em>Neutral</em>'}",624261f5e7b9d21e030f5440,,,,,,,,,,
"['Wisp of Mauve', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2098-60/wisp-of-mauve,Wisp of Mauve 2098-60 | Benjamin Moore,Color,2098-60,The softest hints of purple and gray give this neutral hue compelling character.,866155801dbcb0b5cf50bb53d56dfa3ad1903535,Light,Warm,DBCAC3,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-182-wisp-of-mauve-2098-60-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2098-60/wisp-of-mauve,2024-07-22T02:02:21Z,2024-07-22T02:02:20Z,Wisp of Mauve,Brown,Neutral,1,,"{'description': 'The softest hints of purple and gray give this <em>neutral</em> hue compelling character.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242620328ccbc2f95dda104,,,,,,,,,,
"['French Manicure', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1086/french-manicure,French Manicure 1086 | Benjamin Moore,Color,1086,A gentle dose of peach gives this sophisticated neutral a luminescent quality.,2dc93d5a479c7063182553f6a8d39817b46af498,Light,Warm,F1E2CE,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-186-french-manicure-1086-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1086/french-manicure,2024-07-22T04:46:12Z,2024-07-22T04:46:11Z,French Manicure,Peach,White,1,,{'description': 'A gentle dose of peach gives this sophisticated <em>neutral</em> a luminescent quality.'},62427f93196a677c40894904,,,,,,,,,,
"['Pebble Stone', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2100-50/pebble-stone,Pebble Stone 2100-50 | Benjamin Moore,Color,2100-50,"Earthy and rich, this rosy taupe hue presents a unique alternative to neutrals.",a116b7d54e65bdf7048337634c08d0dfeed780c8,Medium,Warm,C6AAA0,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-197-pebble-stone-2100-50-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2100-50/pebble-stone,2024-07-22T04:43:11Z,2024-07-22T04:43:10Z,Pebble Stone,Pink,Neutral,1,,"{'description': 'Earthy and rich, this rosy taupe hue presents a unique alternative to <em>neutrals</em>.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62429b29196a67355e896795,,,,,,,,,,
"['Seaspray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/941/seaspray,Seaspray 941 | Benjamin Moore,Color,941,"Nuanced shades of gray, beige and green make this an infinitely usable neutral.",1be5428a928a56419c9030c95c11071bbabe0602,Light,Warm,E2DBC2,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-254-seaspray-941-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/941/seaspray,2024-07-22T03:55:57Z,2024-07-22T03:55:56Z,Seaspray,Beige,Neutral,1,,"{'description': 'Nuanced shades of gray, beige and green make this an infinitely usable <em>neutral</em>.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242ba1be7b9d2a8360f5a9f,,,,,,,,,,
"['Stone', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2112-40/stone,Stone 2112-40 | Benjamin Moore,Color,2112-40,"Bridging gray and brown, this use-anywhere neutral conveys effortless style.",090833f71d427a0edc69953a8b2c6b7a640f0a1a,Medium,Cool,86807E,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-207-stone-2112-40-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2112-40/stone,2024-07-22T01:24:59Z,2024-07-22T01:24:58Z,Stone,Gray,Neutral,1,,"{'description': 'Bridging gray and brown, this use-anywhere <em>neutral</em> conveys effortless style.', 'PrimaryColorFamily': '<em>Neutral</em>'}",624289c5196a67629e894e1a,,,,,,,,,,
"['Hampshire Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-101/hampshire-gray,Hampshire Gray HC-101 | Benjamin Moore,Color,HC-101,An almost-neutral green that presents a sumptuous alternative to charcoal gray.,1fa5b18debdc908d25a933bc02c6d0f9d257dfed,Medium,Warm,908972,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-185-hampshire-gray-HC-101-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-101/hampshire-gray,2024-07-22T01:26:21Z,2024-07-22T01:26:21Z,Hampshire Gray,,Neutral,1,,"{'description': 'An almost-<em>neutral</em> green that presents a sumptuous alternative to charcoal gray.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62425d05e7b9d2e0a50f5527,,,,,,,,,,
"['Coastal Cottage', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1164/coastal-cottage,Coastal Cottage 1164 | Benjamin Moore,Color,1164,"The color of soft sand, this organic neutral features a slight touch of pink.",2dcc5f9dfc25bae744397d51858bbee9f6187b8d,Light,Warm,E7D1C2,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-041-coastal-cottage-1164-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1164/coastal-cottage,2024-07-22T04:29:33Z,2024-07-22T04:29:32Z,Coastal Cottage,Pink,Red,1,,"{'description': 'The color of soft sand, this organic <em>neutral</em> features a slight touch of pink.'}",6242b57b64441f483200540c,,,,,,,,,,
"['Oak Ridge', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/235/oak-ridge,Oak Ridge 235 | Benjamin Moore,Color,235,A sandy neutral that can flatter warm or cool color schemes.,6634004624007833d7a0f6cd70b7d3ab0a61ebfe,Medium,Warm,BFAE8C,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-199-oak-ridge-235-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/235/oak-ridge,2024-07-22T04:30:31Z,2024-07-22T04:30:31Z,Oak Ridge,Beige,Neutral,1,,"{'description': 'A sandy <em>neutral</em> that can flatter warm or cool color schemes.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242be9de7b9d252ef0f49f3,,,,,,,,,,
"['Havana Tan', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1121/havana-tan,Havana Tan 1121 | Benjamin Moore,Color,1121,"A warm neutral, this sun-kissed beige offers a healthy glow.",7a4c0c57d683d4c24f8f211d74efaf616e59f88f,Light,Warm,DFCCB6,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-183-havana-tan-1121-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1121/havana-tan,2024-07-22T04:33:01Z,2024-07-03T12:38:54Z,Havana Tan,Beige,Neutral,1,,"{'description': 'A warm <em>neutral</em>, this sun-kissed beige offers a healthy glow.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242deb928ccbc97a8dda003,,,,,,,,,,
"['Senora Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1530/senora-gray,Senora Gray 1530 | Benjamin Moore,Color,1530,"A muted mid-tone, this warm neutral features hints of green.",7a7890306e5d2960fe29be78564655fdacdc3705,Medium,Warm,C0BBA9,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-193-senora-gray-1530-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1530/senora-gray,2024-07-22T04:34:44Z,2024-07-22T04:34:44Z,Senora Gray,,Neutral,1,,"{'description': 'A muted mid-tone, this warm <em>neutral</em> features hints of green.', 'PrimaryColorFamily': '<em>Neutral</em>'}",624287c028ccbcaf85dd9d94,,,,,,,,,,
"['Café Mocha', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2099-50/cafe-mocha,Café Mocha 2099-50 | Benjamin Moore,Color,2099-50,A medium neutral hue that evokes the creamy goodness of coffee swirled with cocoa and milk.,6a090575573141d36138ef2ac90ab182ee73fe8b,Medium,Warm,C5A99F,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-204-cafe-mocha-2099-50-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2099-50/cafe-mocha,2024-07-22T04:37:02Z,2024-07-22T04:37:01Z,Café Mocha,Pink,Neutral,1,,"{'description': 'A medium <em>neutral</em> hue that evokes the creamy goodness of coffee swirled with cocoa and milk.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62429b4864441f051e00424f,,,,,,,,,,
"['Seaspray', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/cc-250/seaspray,Seaspray CC-250 | Benjamin Moore,Color,CC-250,"Nuanced shades of gray, beige and green make this an infinitely usable neutral.",3649f06395dfecbca054e34bd46272b45449f0c8,,,E2DBC2,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-254-seaspray-CC-250-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/cc-250/seaspray,2024-07-30T21:27:16Z,2024-07-30T21:27:15Z,Seaspray,,,1,,"{'description': 'Nuanced shades of gray, beige and green make this an infinitely usable <em>neutral</em>.', 'Family': '<em>Neutral</em>'}",6242fc4828ccbc9050ddb1c6,Neutral,Light,"['Interior', 'Exterior']",true,Designer Classics,,,,,
"['Bridgewater Tan', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1096/bridgewater-tan,Bridgewater Tan 1096 | Benjamin Moore,Color,1096,This warm neutral borders on muted gold with a slight yellow undertone.,e5229c186b7f09093e84eb30d844d246757de981,,,C9AE84,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-199-bridgewater-tan-1096-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1096/bridgewater-tan,2024-07-30T21:27:18Z,2024-07-30T21:27:18Z,Bridgewater Tan,,,1,,"{'description': 'This warm <em>neutral</em> borders on muted gold with a slight yellow undertone.', 'Family': '<em>Neutral</em>'}",6242e841196a674fa2896023,Neutral,Medium,"['Interior', 'Exterior']",true,Benjamin Moore Classics&reg;,,,,,
"['Muslin', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1037/muslin,Muslin 1037 | Benjamin Moore,Color,1037,"A warm, welcoming neutral that captures the effortless charm of organic materials.",9c1cd4f50cf0a6b5a60c4889467d1e6062e14b5d,,,E1D6C1,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-194-muslin-1037-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1037/muslin,2024-07-30T13:37:37Z,2024-07-30T13:37:36Z,Muslin,,,1,,"{'description': 'A warm, welcoming <em>neutral</em> that captures the effortless charm of organic materials.'}",624269ae64441f2f71005ecc,White,Light,"['Interior', 'Exterior']",true,Benjamin Moore Classics&reg;,,,,,
"['Jonesboro Cream', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/241/jonesboro-cream,Jonesboro Cream 241 | Benjamin Moore,Color,241,"Exhibiting hints of sand, gray and green, this neutral has a chameleon-like quality.",4e430b7f88e142cf2235b81b04c322822a6b3588,,,D2C7A9,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-192-jonesboro-cream-241-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/241/jonesboro-cream,2024-07-30T13:38:24Z,2024-07-30T13:38:23Z,Jonesboro Cream,,,1,,"{'description': 'Exhibiting hints of sand, gray and green, this <em>neutral</em> has a chameleon-like quality.', 'Family': '<em>Neutral</em>'}",6242907164441f9525004810,Neutral,Medium,"['Interior', 'Exterior']",true,Benjamin Moore Classics&reg;,,,,,
"['Monarch Gold', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1109/monarch-gold,Monarch Gold 1109 | Benjamin Moore,Color,1109,A mid-toned neutral with peach undertones balanced by a touch of white.,c0f1f359288559c1513205f084e15d9dcfafa3be,,,E6C8A3,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-028-monarch-gold-1109-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1109/monarch-gold,2024-07-30T19:20:15Z,2024-07-30T19:20:15Z,Monarch Gold,,,1,,"{'description': 'A mid-toned <em>neutral</em> with peach undertones balanced by a touch of white.', 'Family': '<em>Neutral</em>'}",624281dce7b9d24c720f57c8,Neutral,Light,"['Interior', 'Exterior']",true,Benjamin Moore Classics&reg;,Chaming,"['Bathroom', 'Cabinet', 'Kitchen', 'Living Room']",Art Deco,,
"['Dark Beige', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2165-40/dark-beige,Dark Beige 2165-40 | Benjamin Moore,Color,2165-40,Rich yellow and orange tones elevate this medium neutral beyond basic beige.,7647efb4b703df7f8f480eb70340494742ad4dea,,,D8B281,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-188-dark-beige-2165-40-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2165-40/dark-beige,2024-07-30T19:23:17Z,2024-07-30T19:23:16Z,Dark Beige,,,1,,{'description': 'Rich yellow and orange tones elevate this medium <em>neutral</em> beyond basic beige.'},6242616128ccbc4535ddb85f,Orange,Medium,"['Interior', 'Exterior']",true,Color Preview&reg;,,,,,
"['Royal Flax', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-315/royal-flax,Royal Flax CSP-315 | Benjamin Moore,Color,CSP-315,"A natural grain, this neutral adds an earthy element to any decor. ",4d43cadc28a70b8ea30974fdb8ad108ab80d4f2d,,,CEC0AE,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-253-royal-flax-CSP-315-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-315/royal-flax,2024-07-31T00:48:44Z,2024-07-03T11:57:19Z,Royal Flax,,,1,,"{'description': 'A natural grain, this <em>neutral</em> adds an earthy element to any decor.\xa0', 'Family': '<em>Neutral</em>'}",62430bc228ccbc52f6dda163,Neutral,Medium,Interior,true,Color Stories&reg;,,,,,
"['Alaskan Skies', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/972/alaskan-skies,Alaskan Skies 972 | Benjamin Moore,Color,972,"A go-to neutral that can refresh a space, while providing a warm, welcoming feeling.",68b53cf76f19f3b528557f24890a211e22077932,,,D9D3C4,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-251-alaskan-skies-972-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/972/alaskan-skies,2024-07-30T17:00:33Z,2024-07-30T17:00:33Z,Alaskan Skies,,,1,,"{'description': 'A go-to <em>neutral</em> that can refresh a space, while providing a warm, welcoming feeling.'}",6324c347196a6791d7992571,White,Light,"['Interior', 'Exterior']",true,Benjamin Moore Classics&reg;,,,,,
"['Jicama', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/af-315/jicama,Jicama AF-315 | Benjamin Moore,Color,AF-315,"Rich and creamy, this yellow-tinged neutral infuses any space with warmth and comfort.",01c247918c308061197092cd3beadb83b7fe4d02,,,F2DEBC,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-022-jicama-AF-315-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/af-315/jicama,2024-07-30T12:29:12Z,2024-07-30T12:29:12Z,Jicama,,,1,,"{'description': 'Rich and creamy, this yellow-tinged <em>neutral</em> infuses any space with warmth and comfort.'}",62473de7196a67e875896d17,Orange,Light,"['Interior', 'Exterior']",true,Affinity&reg; Color Collection,,,,,
"['Adobe Beige', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1128/adobe-beige,Adobe Beige 1128 | Benjamin Moore,Color,1128,"A light shade of brown with a touch of orange, this pale neutral provides a warm cast.",1df6ebe2a495e3c50110cefd6fe7741ef7b5ba6e,Medium,Warm,D8C4AB,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-022-adobe-beige-1128-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1128/adobe-beige,2024-07-21T21:34:07Z,2024-07-21T21:34:07Z,Adobe Beige,Beige,Neutral,1,,"{'description': 'A light shade of brown with a touch of orange, this pale <em>neutral</em> provides a warm cast.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242b70528ccbc2e4fdda006,,,,,,,,,,
