,sections,page_path,title,type,description,external_id,image,url,published_at,updated_at,cdp,popularity,info,_index,_type,_score,_version,_explanation,sort,highlight,id,color_number,ColorValue,WarmCool,color_hex,color_name,Undertone,language,PrimaryColorFamily,Opacity,Interior/Exterior,Color Collection,Family,Shade,Mood,Project,Style,Value,Color Family,Tone,cleaned_name,is_color_description,is_poetry,writing_form,writing_type
1388,"['Embroidered Flower', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-1190/embroidered-flower,Embroidered Flower CSP-1190 | Benjamin Moore,Color,"The delicate stitches withstood nearly a century of wear, still adorning the beautiful gown that had been passed down for generations.",58b03b9f80ef1ac21583193ffdf4f5ffdc96b902,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-009-embroidered-flower-CSP-1190-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-1190/embroidered-flower,2024-07-20T19:12:18Z,2024-07-20T19:12:18Z,,1,,,,,,,,"{'title': '<em>Embroidered</em> <em>Flower</em> CSP-1190 | Benjamin Moore', 'sections': '<em>Embroidered</em> <em>Flower</em>', 'color_name': '<em>Embroidered</em> <em>Flower</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-1190&#x2F;<em>embroidered</em>-<em>flower</em>'}",624694ff28ccbcab80ddb974,CSP-1190,Dark,Warm,B44D51,Embroidered Flower,,,Red,,,,,,,,,,,,Embroidered Flower,no,no,prose,story
1409,"['Bubble Tea', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-1180/bubble-tea,Bubble Tea CSP-1180 | Benjamin Moore,Color,"Savoring the fruity tea and the pink tapioca beads, she welcomed this cool delight against the blazing August heat.",39d79498fa3edbc8960838e9251ad7176b85e663,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-001-bubble-tea-CSP-1180-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-1180/bubble-tea,2024-07-30T20:41:17Z,2024-07-03T16:48:53Z,True,1,,,,,,,,"{'title': '<em>Bubble</em> <em>Tea</em> CSP-1180 | Benjamin Moore', 'sections': '<em>Bubble</em> <em>Tea</em>', 'description': 'Savoring the fruity <em>tea</em> and the pink tapioca beads, she welcomed this cool delight against the blazing August heat.', 'color_name': '<em>Bubble</em> <em>Tea</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-1180&#x2F;<em>bubble</em>-<em>tea</em>'}",6242e705196a678ee0896508,CSP-1180,,,C86361,Bubble Tea,,,,,Interior,Color Stories&reg;,Red,Medium,,,,,,,Bubble Tea,no,no,prose,story
1442,"['Quietly Violet', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-415/quietly-violet,Quietly Violet CSP-415 | Benjamin Moore,Color,"Hints of little violet blooms, peeking through summer grass. Polite, quiet and elegant.",481e95849e1a300998ed821a9dbfcb361ad2923f,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-180-quietly-violet-CSP-415-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-415/quietly-violet,2024-07-30T20:38:59Z,2024-07-03T16:46:01Z,True,1,,,,,,,,"{'title': '<em>Quietly</em> <em>Violet</em> CSP-415 | Benjamin Moore', 'sections': '<em>Quietly</em> <em>Violet</em>', 'description': 'Hints of little <em>violet</em> blooms, peeking through summer grass. Polite, quiet and elegant.', 'color_name': '<em>Quietly</em> <em>Violet</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-415&#x2F;<em>quietly</em>-<em>violet</em>', 'Family': '<em>Violet</em>'}",6242ea81e7b9d22eda0f3e06,CSP-415,,,917876,Quietly Violet,,,,,Interior,Color Stories&reg;,Violet,Dark,"['Calming', 'Moody']","['Bathroom', 'Bedroom', 'Kitchen', 'Living Room']","['Cottage', 'Cozy Cabin']",,,,Quietly Violet,no,yes,poetry,poetry
1443,"['Terrazzo Brown', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-360/terrazzo-brown,Terrazzo Brown CSP-360 | Benjamin Moore,Color,The earthy tiles cooled her feet as she entered the solarium for her morning cup of tea. ,d3c09d8a76bb26cfee30ab92344719d7170a8d43,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-184-terrazzo-brown-CSP-360-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-360/terrazzo-brown,2024-07-20T20:38:48Z,2024-07-20T20:38:47Z,,1,,,,,,,,"{'title': '<em>Terrazzo</em> <em>Brown</em> CSP-360 | Benjamin Moore', 'sections': '<em>Terrazzo</em> <em>Brown</em>', 'color_name': '<em>Terrazzo</em> <em>Brown</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-360&#x2F;<em>terrazzo</em>-<em>brown</em>'}",624737c728ccbc9773dda2db,CSP-360,Dark,Warm,5E3B2F,Terrazzo Brown,,,Neutral,,,,,,,,,,,,Terrazzo Brown,no,no,prose,story
1478,"['Heirloom Quilt', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-1185/heirloom-quilt,Heirloom Quilt CSP-1185 | Benjamin Moore,Color,"Every block held a special meaning. The yellow gingham dress, a patch of velvet from his smoking jacket, coral-orange silk that lined her wedding hat.",27f3447536c2d3c1c1bd06d227ae258ac3b7c432,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-001-heirloom-quilt-CSP-1185-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-1185/heirloom-quilt,2024-07-22T00:32:36Z,2024-07-22T00:32:36Z,,1,,,,,,,,"{'title': '<em>Heirloom</em> <em>Quilt</em> CSP-1185 | Benjamin Moore', 'sections': '<em>Heirloom</em> <em>Quilt</em>', 'color_name': '<em>Heirloom</em> <em>Quilt</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-1185&#x2F;<em>heirloom</em>-<em>quilt</em>'}",62431620e7b9d229ab0f5407,CSP-1185,Dark,Warm,B0625C,Heirloom Quilt,,,Red,,,,,,,,,,,,Heirloom Quilt,no,yes,prose,story
1585,"['Lost Locket', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-410/lost-locket,Lost Locket CSP-410 | Benjamin Moore,Color,"There, between the attic floorboards, a small, pink sweetheart necklace called out to be found.",9fa4976bfbbc2feb6fc6068d7cb925216341cb36,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-180-lost-locket-CSP-410-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-410/lost-locket,2024-07-22T03:20:38Z,2024-07-22T03:20:37Z,,1,,,,,,,,"{'title': '<em>Lost</em> <em>Locket</em> CSP-410 | Benjamin Moore', 'sections': '<em>Lost</em> <em>Locket</em>', 'color_name': '<em>Lost</em> <em>Locket</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-410&#x2F;<em>lost</em>-<em>locket</em>'}",624275de196a672121895af7,CSP-410,Medium,Warm,BBA8A3,Lost Locket,Gray,,Neutral,,,,,,,,,,,,Lost Locket,yes,no,prose,story
1592,"['Dark Chocolate', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-270/dark-chocolate,Dark Chocolate CSP-270 | Benjamin Moore,Color,"Deeply satisfying, with a rich, decadent quality you're sure to savor. ",3447f015ae75d92b0d3ca6e4858aa73ccc2c7fa1,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-192-dark-chocolate-CSP-270-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-270/dark-chocolate,2024-07-20T20:45:19Z,2024-07-20T20:45:19Z,,1,,,,,,,,"{'title': '<em>Dark</em> <em>Chocolate</em> CSP-270 | Benjamin Moore', 'sections': '<em>Dark</em> <em>Chocolate</em>', 'color_name': '<em>Dark</em> <em>Chocolate</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-270&#x2F;<em>dark</em>-<em>chocolate</em>', 'ColorValue': '<em>Dark</em>'}",6247336428ccbc187eddb15d,CSP-270,Dark,Warm,634F42,Dark Chocolate,,,Neutral,,,,,,,,,,,,Dark Chocolate,no,yes,poetry,poetry
1630,"['Fallen Leaf', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-330/fallen-leaf,Fallen Leaf CSP-330 | Benjamin Moore,Color,"A crisp autumn leaf drifts lazily down the cool stream, rippling over smooth bedrocks.",98604258a6ec05cf374084507e4d8c42a2f4c698,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-202-fallen-leaf-CSP-330-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-330/fallen-leaf,2024-06-29T08:23:13Z,2024-06-29T08:23:13Z,,1,,,,,,,,"{'title': '<em>Fallen</em> <em>Leaf</em> CSP-330 | Benjamin Moore', 'sections': '<em>Fallen</em> <em>Leaf</em>', 'description': 'A crisp autumn <em>leaf</em> drifts lazily down the cool stream, rippling over smooth bedrocks.', 'color_name': '<em>Fallen</em> <em>Leaf</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-330&#x2F;<em>fallen</em>-<em>leaf</em>'}",624806e4196a67b342896529,CSP-330,Dark,Warm,744634,Fallen Leaf,,,Neutral,,,,,,,,,,,,Fallen Leaf,no,yes,poetry,poetry
1656,"['Canyon Rock', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-1120/canyon-rock,Canyon Rock CSP-1120 | Benjamin Moore,Color,"A rugged trail lay before them as they began their three-day trek through the vast, magnificent gorge.",646a9c7c6a5422dcc4ebf1abf87f1385682706be,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-039-canyon-rock-CSP-1120-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-1120/canyon-rock,2024-07-22T03:30:35Z,2024-07-03T17:10:39Z,,1,,,,,,,,"{'title': '<em>Canyon</em> <em>Rock</em> CSP-1120 | Benjamin Moore', 'sections': '<em>Canyon</em> <em>Rock</em>', 'color_name': '<em>Canyon</em> <em>Rock</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-1120&#x2F;<em>canyon</em>-<em>rock</em>'}",62431a9928ccbc4527ddc004,CSP-1120,Dark,Warm,B26B5D,Canyon Rock,Brown,,Red,,,,,,,,,,,,Canyon Rock,no,no,prose,story
1686,"['Tropical Fruit', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-1115/tropical-fruit,Tropical Fruit CSP-1115 | Benjamin Moore,Color,The intoxicating aromas of the sweet tropical fruits hung in the air as the sun dipped into the Pacific.,c99576e2f67550aff417a1784262b37f480c5df6,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-039-tropical-fruit-CSP-1115-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-1115/tropical-fruit,2024-07-21T12:33:30Z,2024-07-21T12:33:29Z,,1,,,,,,,,"{'title': '<em>Tropical</em> <em>Fruit</em> CSP-1115 | Benjamin Moore', 'sections': '<em>Tropical</em> <em>Fruit</em>', 'description': 'The intoxicating aromas of the sweet <em>tropical</em> <em>fruits</em> hung in the air as the sun dipped into the Pacific.', 'color_name': '<em>Tropical</em> <em>Fruit</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-1115&#x2F;<em>tropical</em>-<em>fruit</em>'}",6245189528ccbc646cddb947,CSP-1115,Medium,Warm,D1806D,Tropical Fruit,,,Red,,,,,,,,,,,,Tropical Fruit,no,no,prose,story
1765,"['Tuscan Tile', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-1130/tuscan-tile,Tuscan Tile CSP-1130 | Benjamin Moore,Color,The ancient floor in the Florentine villa has weathered over time with a beautiful patina.,5d26761cfc014ad5d7ab520bceb84a06cac5772e,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-044-tuscan-tile-CSP-1130-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-1130/tuscan-tile,2024-07-30T21:52:16Z,2024-07-03T16:41:17Z,True,1,,,,,,,,"{'title': '<em>Tuscan</em> <em>Tile</em> CSP-1130 | Benjamin Moore', 'sections': '<em>Tuscan</em> <em>Tile</em>', 'color_name': '<em>Tuscan</em> <em>Tile</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-1130&#x2F;<em>tuscan</em>-<em>tile</em>'}",62430ce2e7b9d269ab0f3b07,CSP-1130,,,D69679,Tuscan Tile,,,,,Interior,Color Stories&reg;,Orange,Medium,,,,,,,Tuscan Tile,no,no,prose,story
1792,"['Cashmere Wrap', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-345/cashmere-wrap,Cashmere Wrap CSP-345 | Benjamin Moore,Color,"As they left the dance, he placed the soft pashmina around her shoulders to ward off the evening chill. ",9aa5050c26f0adafc7d7a7c3857a5a8dd3438f3e,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-253-cashmere-wrap-CSP-345-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-345/cashmere-wrap,2024-07-21T19:34:14Z,2024-07-21T19:34:13Z,,1,,,,,,,,"{'title': '<em>Cashmere</em> <em>Wrap</em> CSP-345 | Benjamin Moore', 'sections': '<em>Cashmere</em> <em>Wrap</em>', 'color_name': '<em>Cashmere</em> <em>Wrap</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-345&#x2F;<em>cashmere</em>-<em>wrap</em>'}",62431a1e196a67a0be89549f,CSP-345,Medium,Warm,D1B9A9,Cashmere Wrap,Pink,,Neutral,,,,,,,,,,,,Cashmere Wrap,no,no,prose,story
1803,"['Riding Boots', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-300/riding-boots,Riding Boots CSP-300 | Benjamin Moore,Color,"Newly polished, my favorite boots were ready for a fall ride with the new mare. ",8036c3625052226ae237ba72ffe8e56d761cf1de,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-183-riding-boots-CSP-300-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-300/riding-boots,2024-07-20T22:38:14Z,2024-07-20T22:38:14Z,,1,,,,,,,,"{'title': '<em>Riding</em> <em>Boots</em> CSP-300 | Benjamin Moore', 'sections': '<em>Riding</em> <em>Boots</em>', 'description': 'Newly polished, my favorite <em>boots</em> were ready for a fall ride with the new mare.\xa0', 'color_name': '<em>Riding</em> <em>Boots</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-300&#x2F;<em>riding</em>-<em>boots</em>'}",624732c6196a67b2ac8967ae,CSP-300,Dark,Warm,6B4E3E,Riding Boots,,,Neutral,,,,,,,,,,,,Riding Boots,no,no,prose,story
